A!NET_NAME!REFDES!PIN_NUMBER!FUNC_LOGICAL_PATH!COMP_DEVICE_TYPE!FUNC_SCH_SIZE!FUNC_HAS_FIXED_SIZE!FUNC_DES!PIN_CDS_PINID!PIN_TERMINATION!PIN_TERM_IDENT!PIN_NET_SHORT!PIN_XNET_PINS!
J!C:/EDM/grey_matter_server/brain_board/output/brain_board/physical/brain_board.brd!Mon Mar  8 11:32:41 2021!-7425.00!-10499.00!32575.00!24501.00!0.01!mils!BRAIN_BOARD!48.700000 mil!12!UP TO DATE!
S!GND!R111!2!@worklib.brain_board(tbl_1):\I1039646739\@worklib.zynq_block(tbl_1):\I167231555\!RES-202000047,R0402,RES,VISHAYB!!!F272!\M167231707\!!!!!
S!JTAG_TMS!R12!1!@worklib.brain_board(tbl_1):\I1039646739\@worklib.zynq_block(tbl_1):\I167231599\!RES-202000047,R0402,RES,VISHAYB!!!F271!\M167231877\!!!!!
S!3P3V!R12!2!@worklib.brain_board(tbl_1):\I1039646739\@worklib.zynq_block(tbl_1):\I167231599\!RES-202000047,R0402,RES,VISHAYB!!!F271!\M167231878\!!!!!
S!DSP_XID<0>!R156!1!@worklib.brain_board(tbl_1):\I1039646740\@worklib.dsp_block(tbl_1):\I167231493\!RES-202000047,R0402,RES,VISHAYB!!!F270!\M167231497\!!!!!
S!1P8V!R156!2!@worklib.brain_board(tbl_1):\I1039646740\@worklib.dsp_block(tbl_1):\I167231493\!RES-202000047,R0402,RES,VISHAYB!!!F270!\M167231498\!!!!!
S!DSP_XID<1>!R157!1!@worklib.brain_board(tbl_1):\I1039646740\@worklib.dsp_block(tbl_1):\I167231494\!RES-202000047,R0402,RES,VISHAYB!!!F269!\M167231499\!!!!!
S!1P8V!R157!2!@worklib.brain_board(tbl_1):\I1039646740\@worklib.dsp_block(tbl_1):\I167231494\!RES-202000047,R0402,RES,VISHAYB!!!F269!\M167231500\!!!!!
S!DSP_XID<2>!R158!1!@worklib.brain_board(tbl_1):\I1039646740\@worklib.dsp_block(tbl_1):\I167231495\!RES-202000047,R0402,RES,VISHAYB!!!F268!\M167231501\!!!!!
S!1P8V!R158!2!@worklib.brain_board(tbl_1):\I1039646740\@worklib.dsp_block(tbl_1):\I167231495\!RES-202000047,R0402,RES,VISHAYB!!!F268!\M167231502\!!!!!
S!DSP_XID<3>!R159!1!@worklib.brain_board(tbl_1):\I1039646740\@worklib.dsp_block(tbl_1):\I167231496\!RES-202000047,R0402,RES,VISHAYB!!!F267!\M167231503\!!!!!
S!1P8V!R159!2!@worklib.brain_board(tbl_1):\I1039646740\@worklib.dsp_block(tbl_1):\I167231496\!RES-202000047,R0402,RES,VISHAYB!!!F267!\M167231504\!!!!!
S!DSP_YID<0>!R161!1!@worklib.brain_board(tbl_1):\I1039646740\@worklib.dsp_block(tbl_1):\I167231498\!RES-202000047,R0402,RES,VISHAYB!!!F266!\M167231507\!!!!!
S!1P8V!R161!2!@worklib.brain_board(tbl_1):\I1039646740\@worklib.dsp_block(tbl_1):\I167231498\!RES-202000047,R0402,RES,VISHAYB!!!F266!\M167231508\!!!!!
S!DSP_YID<1>!R162!1!@worklib.brain_board(tbl_1):\I1039646740\@worklib.dsp_block(tbl_1):\I167231499\!RES-202000047,R0402,RES,VISHAYB!!!F265!\M167231509\!!!!!
S!1P8V!R162!2!@worklib.brain_board(tbl_1):\I1039646740\@worklib.dsp_block(tbl_1):\I167231499\!RES-202000047,R0402,RES,VISHAYB!!!F265!\M167231510\!!!!!
S!DSP_YID<2>!R163!1!@worklib.brain_board(tbl_1):\I1039646740\@worklib.dsp_block(tbl_1):\I167231500\!RES-202000047,R0402,RES,VISHAYB!!!F264!\M167231511\!!!!!
S!1P8V!R163!2!@worklib.brain_board(tbl_1):\I1039646740\@worklib.dsp_block(tbl_1):\I167231500\!RES-202000047,R0402,RES,VISHAYB!!!F264!\M167231512\!!!!!
S!DSP_YID<3>!R164!1!@worklib.brain_board(tbl_1):\I1039646740\@worklib.dsp_block(tbl_1):\I167231501\!RES-202000047,R0402,RES,VISHAYB!!!F263!\M167231513\!!!!!
S!1P8V!R164!2!@worklib.brain_board(tbl_1):\I1039646740\@worklib.dsp_block(tbl_1):\I167231501\!RES-202000047,R0402,RES,VISHAYB!!!F263!\M167231514\!!!!!
S!DSP_FLAG!R179!1!@worklib.brain_board(tbl_1):\I1039646740\@worklib.dsp_block(tbl_1):\I167231509\!RES-202000047,R0402,RES,VISHAYB!!!F262!\M167231529\!!!!!
S!1P8V!R179!2!@worklib.brain_board(tbl_1):\I1039646740\@worklib.dsp_block(tbl_1):\I167231509\!RES-202000047,R0402,RES,VISHAYB!!!F262!\M167231530\!!!!!
S!VDD_GPIO!R18!1!@worklib.brain_board(tbl_1):\I1039646739\@worklib.zynq_block(tbl_1):\I167231684\!RES-202000047,R0402,RES,VISHAYB!!!F261!\M167232196\!!!!!
S!PS_I2C_SDA!R18!2!@worklib.brain_board(tbl_1):\I1039646739\@worklib.zynq_block(tbl_1):\I167231684\!RES-202000047,R0402,RES,VISHAYB!!!F261!\M167232197\!!!!!
S!DDC_SCL!R19!1!@worklib.brain_board(tbl_1):\I1039646733\@worklib.hdmi_block(tbl_1):\I167231521\!RES-202000047,R0402,RES,VISHAYB!!!F260!\M167231632\!!!!!
S!HDMI_5V!R19!2!@worklib.brain_board(tbl_1):\I1039646733\@worklib.hdmi_block(tbl_1):\I167231521\!RES-202000047,R0402,RES,VISHAYB!!!F260!\M167231633\!!!!!
S!VDD_GPIO!R20!1!@worklib.brain_board(tbl_1):\I1039646739\@worklib.zynq_block(tbl_1):\I167231685\!RES-202000047,R0402,RES,VISHAYB!!!F259!\M167232198\!!!!!
S!PS_I2C_SCL!R20!2!@worklib.brain_board(tbl_1):\I1039646739\@worklib.zynq_block(tbl_1):\I167231685\!RES-202000047,R0402,RES,VISHAYB!!!F259!\M167232199\!!!!!
S!DDC_SDA!R21!1!@worklib.brain_board(tbl_1):\I1039646733\@worklib.hdmi_block(tbl_1):\I167231522\!RES-202000047,R0402,RES,VISHAYB!!!F258!\M167231634\!!!!!
S!HDMI_5V!R21!2!@worklib.brain_board(tbl_1):\I1039646733\@worklib.hdmi_block(tbl_1):\I167231522\!RES-202000047,R0402,RES,VISHAYB!!!F258!\M167231635\!!!!!
S!HDMI_INT!R22!1!@worklib.brain_board(tbl_1):\I1039646733\@worklib.hdmi_block(tbl_1):\I167231523\!RES-202000047,R0402,RES,VISHAYB!!!F257!\M167231636\!!!!!
S!VDD_GPIO!R22!2!@worklib.brain_board(tbl_1):\I1039646733\@worklib.hdmi_block(tbl_1):\I167231523\!RES-202000047,R0402,RES,VISHAYB!!!F257!\M167231637\!!!!!
S!HDMI_HPD_B!R24!1!@worklib.brain_board(tbl_1):\I1039646733\@worklib.hdmi_block(tbl_1):\I167231524\!RES-202000047,R0402,RES,VISHAYB!!!F256!\M167231638\!!!!!
