A!FUNC_LOGICAL_PATH!COMP_DEVICE_TYPE!REFDES!FUNC_PRIM_FILE!COMP_PARENT_PPT!COMP_PARENT_PPT_PART!COMP_PARENT_PART_TYPE!FUNC_SCH_SIZE!FUNC_HAS_FIXED_SIZE!FUNC_DES!FUNC_GROUP!FUNC_ROOM!FUNC_TERM_IDENT!FUNC_CDS_FSP_INSTANCE_ID!FUNC_CDS_FSP_IS_FPGA!FUNC_CDS_FSP_UID!
J!C:/EDM/grey_matter_server/brain_board/output/brain_board/physical/brain_board.brd!Mon Mar  8 11:32:41 2021!-7425.00!-10499.00!32575.00!24501.00!0.01!mils!BRAIN_BOARD!48.700000 mil!12!UP TO DATE!
S!@worklib.brain_board(tbl_1):\I1039646733\@worklib.hdmi_block(tbl_1):\I167231521\!RES-202000047,R0402,RES,VISHAYB!R19!discrete.resistor!!!RES!!!F260!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646739\@worklib.zynq_block(tbl_1):\I167231685\!RES-202000047,R0402,RES,VISHAYB!R20!discrete.resistor!!!RES!!!F259!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646733\@worklib.hdmi_block(tbl_1):\I167231522\!RES-202000047,R0402,RES,VISHAYB!R21!discrete.resistor!!!RES!!!F258!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646733\@worklib.hdmi_block(tbl_1):\I167231523\!RES-202000047,R0402,RES,VISHAYB!R22!discrete.resistor!!!RES!!!F257!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646733\@worklib.hdmi_block(tbl_1):\I167231524\!RES-202000047,R0402,RES,VISHAYB!R24!discrete.resistor!!!RES!!!F256!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646734\@worklib.mgmt_block(tbl_1):\I167231512\!RES-202000047,R0402,RES,VISHAYB!R300!discrete.resistor!!!RES!!!F255!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646739\@worklib.zynq_block(tbl_1):\I167231514\!RES-202000047,R0402,RES,VISHAYB!R33!discrete.resistor!!!RES!!!F254!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646739\@worklib.zynq_block(tbl_1):\I167231515\!RES-202000047,R0402,RES,VISHAYB!R34!discrete.resistor!!!RES!!!F253!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646739\@worklib.zynq_block(tbl_1):\I167231516\!RES-202000047,R0402,RES,VISHAYB!R35!discrete.resistor!!!RES!!!F252!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646739\@worklib.zynq_block(tbl_1):\I167231517\!RES-202000047,R0402,RES,VISHAYB!R36!discrete.resistor!!!RES!!!F251!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646739\@worklib.zynq_block(tbl_1):\I167231518\!RES-202000047,R0402,RES,VISHAYB!R37!discrete.resistor!!!RES!!!F250!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646739\@worklib.zynq_block(tbl_1):\I167231519\!RES-202000047,R0402,RES,VISHAYB!R38!discrete.resistor!!!RES!!!F249!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646739\@worklib.zynq_block(tbl_1):\I167231520\!RES-202000047,R0402,RES,VISHAYB!R39!discrete.resistor!!!RES!!!F248!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646739\@worklib.zynq_block(tbl_1):\I167231594\!RES-202000047,R0402,RES,VISHAYB!R4!discrete.resistor!!!RES!!!F247!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646739\@worklib.zynq_block(tbl_1):\I167231521\!RES-202000047,R0402,RES,VISHAYB!R40!discrete.resistor!!!RES!!!F246!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646739\@worklib.zynq_block(tbl_1):\I167231498\!RES-202000047,R0402,RES,VISHAYB!R61!discrete.resistor!!!RES!!!F245!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646739\@worklib.zynq_block(tbl_1):\I167231595\!RES-202000047,R0402,RES,VISHAYB!R8!discrete.resistor!!!RES!!!F244!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646739\@worklib.zynq_block(tbl_1):\I167231596\!RES-202000047,R0402,RES,VISHAYB!R9!discrete.resistor!!!RES!!!F243!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646732\@worklib.usb_block(tbl_1):\I167231532\!RES-202000053,R0402,RES,VISHAYB!R103!discrete.resistor!!!RES!!!F242!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646739\@worklib.zynq_block(tbl_1):\I167231598\!RES-202000053,R0402,RES,VISHAYB!R11!discrete.resistor!!!RES!!!F241!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646740\@worklib.dsp_block(tbl_1):\I167231497\!RES-202000053,R0402,RES,VISHAYB!R160!discrete.resistor!!!RES!!!F240!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646740\@worklib.dsp_block(tbl_1):\I167231502\!RES-202000053,R0402,RES,VISHAYB!R165!discrete.resistor!!!RES!!!F239!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646740\@worklib.dsp_block(tbl_1):\I167231503\!RES-202000053,R0402,RES,VISHAYB!R166!discrete.resistor!!!RES!!!F238!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646740\@worklib.dsp_block(tbl_1):\I167231504\!RES-202000053,R0402,RES,VISHAYB!R167!discrete.resistor!!!RES!!!F237!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646740\@worklib.dsp_block(tbl_1):\I167231505\!RES-202000053,R0402,RES,VISHAYB!R168!discrete.resistor!!!RES!!!F236!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646740\@worklib.dsp_block(tbl_1):\I167231506\!RES-202000053,R0402,RES,VISHAYB!R169!discrete.resistor!!!RES!!!F235!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646740\@worklib.dsp_block(tbl_1):\I167231507\!RES-202000053,R0402,RES,VISHAYB!R170!discrete.resistor!!!RES!!!F234!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646740\@worklib.dsp_block(tbl_1):\I167231508\!RES-202000053,R0402,RES,VISHAYB!R171!discrete.resistor!!!RES!!!F233!!!!!!!
